Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2020,7,59,Grenelle,4,Avant 1946,non meublé,22.6,27.12,15.82,PARIS,7511559
2024,2,21,Monnaie,4,Avant 1946,non meublé,26.4,31.7,18.5,PARIS,7510621
2025,2,16,Notre-Dame,3,1971-1990,meublé,27.9,33.5,19.5,PARIS,7510416
2025,3,62,Muette,1,1946-1970,non meublé,30.6,36.7,21.4,PARIS,7511662
2020,2,13,Saint-Merri,2,1971-1990,meublé,28.6,34.32,20.02,PARIS,7510413
2024,6,58,Necker,1,1946-1970,meublé,32.4,38.9,22.7,PARIS,7511558
2020,6,58,Necker,1,Avant 1946,non meublé,28.4,34.08,19.88,PARIS,7511558
2019,4,20,Sorbonne,1,1971-1990,meublé,32.9,39.5,23.0,PARIS,7510520
2023,7,61,Auteuil,4,Apres 1990,non meublé,24.2,29.0,16.9,PARIS,7511661
2021,10,67,Batignolles,3,1971-1990,non meublé,21.9,26.28,15.33,PARIS,7511767
2021,5,38,Porte-Saint-Denis,3,1946-1970,non meublé,20.0,24.0,14.0,PARIS,7511038
2024,2,29,Champs-Elysées,2,Apres 1990,non meublé,27.3,32.8,19.1,PARIS,7510829
2021,12,56,Plaisance,2,1971-1990,meublé,24.3,29.16,17.01,PARIS,7511456
2024,2,4,Place-Vendôme,4,Avant 1946,non meublé,26.4,31.7,18.5,PARIS,7510104
2023,11,43,Roquette,3,Apres 1990,meublé,25.1,30.1,17.6,PARIS,7511143
2022,11,54,Parc-de-Montsouris,1,Apres 1990,non meublé,24.4,29.28,17.08,PARIS,7511454
2025,9,69,Grandes-Carrières,3,1946-1970,non meublé,20.6,24.7,14.4,PARIS,7511869
2022,10,42,Saint-Ambroise,1,Apres 1990,non meublé,29.2,35.04,20.44,PARIS,7511142
2023,4,14,Saint-Gervais,4,1971-1990,non meublé,24.3,29.2,17.0,PARIS,7510414
2025,10,18,Jardin-des-Plantes,2,1971-1990,meublé,28.3,34.0,19.8,PARIS,7510518
